"","p-value"
"0.635",0.23957
"0.636",0.2385
"0.637",0.23743
"0.638",0.23636
"0.639",0.23636
"0.64",0.23529
"0.641",0.23422
"0.642",0.23422
"0.643",0.23422
"0.644",0.23422
"0.645",0.23422
"0.646",0.23422
"0.647",0.23316
"0.648",0.23316
"0.649",0.23209
"0.65",0.23102
"0.651",0.22888
"0.652",0.22888
"0.653",0.22674
"0.654",0.22567
"0.655",0.22567
"0.656",0.2246
"0.657",0.2246
"0.658",0.22353
"0.659",0.22353
"0.66",0.22246
"0.661",0.22246
"0.662",0.22139
"0.663",0.22139
"0.664",0.22139
"0.665",0.22139
"0.666",0.22032
"0.667",0.21925
"0.668",0.21818
"0.669",0.21818
"0.67",0.21711
"0.671",0.21497
"0.672",0.2139
"0.673",0.21283
"0.674",0.21176
"0.675",0.21176
"0.676",0.20963
"0.677",0.20963
"0.678",0.20856
"0.679",0.20749
"0.68",0.20749
"0.681",0.20749
"0.682",0.20535
"0.683",0.20321
"0.684",0.19786
"0.685",0.19786
"0.686",0.19679
"0.687",0.19572
"0.688",0.19572
"0.689",0.19465
"0.69",0.19465
"0.691",0.19465
"0.692",0.19358
"0.693",0.19251
"0.694",0.19251
"0.695",0.19251
"0.696",0.19037
"0.697",0.18824
"0.698",0.18717
"0.699",0.1861
"0.7",0.18503
"0.701",0.18503
"0.702",0.18503
"0.703",0.18503
"0.704",0.18503
"0.705",0.18396
"0.706",0.18396
"0.707",0.18396
"0.708",0.18396
"0.709",0.18396
"0.71",0.18182
"0.711",0.18075
"0.712",0.18075
"0.713",0.18075
"0.714",0.18075
"0.715",0.18075
"0.716",0.18075
"0.717",0.17861
"0.718",0.17754
"0.719",0.17647
"0.72",0.17433
"0.721",0.17326
"0.722",0.17326
"0.723",0.17326
"0.724",0.17326
"0.725",0.17326
"0.726",0.17326
"0.727",0.17219
"0.728",0.17219
"0.729",0.17219
"0.73",0.17112
"0.731",0.17005
"0.732",0.16898
"0.733",0.16791
"0.734",0.16578
"0.735",0.16578
"0.736",0.16471
"0.737",0.16364
"0.738",0.15936
"0.739",0.15722
"0.74",0.15401
