"","p-value"
"0.656",0.19844
"0.657",0.19772
"0.658",0.1974
"0.659",0.19709
"0.66",0.19605
"0.661",0.19522
"0.662",0.1947
"0.663",0.19439
"0.664",0.19356
"0.665",0.19304
"0.666",0.19252
"0.667",0.19159
"0.668",0.19117
"0.669",0.19013
"0.67",0.1893
"0.671",0.18899
"0.672",0.18837
"0.673",0.18764
"0.674",0.18723
"0.675",0.18681
"0.676",0.18588
"0.677",0.18557
"0.678",0.18474
"0.679",0.18401
"0.68",0.18349
"0.681",0.18297
"0.682",0.18204
"0.683",0.18131
"0.684",0.18089
"0.685",0.18017
"0.686",0.17944
"0.687",0.17892
"0.688",0.1785
"0.689",0.1783
"0.69",0.17799
"0.691",0.17767
"0.692",0.17715
"0.693",0.17674
"0.694",0.17643
"0.695",0.17539
"0.696",0.17435
"0.697",0.17383
"0.698",0.17259
"0.699",0.17186
"0.7",0.17103
"0.701",0.17051
"0.702",0.17009
"0.703",0.16999
"0.704",0.16906
"0.705",0.16864
"0.706",0.16864
"0.707",0.1675
"0.708",0.16677
"0.709",0.16584
"0.71",0.16501
"0.711",0.16397
"0.712",0.16334
"0.713",0.16241
"0.714",0.1621
"0.715",0.16179
"0.716",0.16137
"0.717",0.16075
"0.718",0.15929
"0.719",0.15867
"0.72",0.15784
"0.721",0.15701
"0.722",0.15639
"0.723",0.15566
"0.724",0.15472
"0.725",0.15379
"0.726",0.15348
"0.727",0.15265
"0.728",0.15171
"0.729",0.15088
"0.73",0.14995
"0.731",0.1487
"0.732",0.14787
"0.733",0.14694
"0.734",0.1459
"0.735",0.14496
"0.736",0.14403
"0.737",0.14268
"0.738",0.14185
"0.739",0.14102
"0.74",0.1406
"0.741",0.13988
"0.742",0.13925
"0.743",0.13873
"0.744",0.13749
"0.745",0.13666
"0.746",0.13593
"0.747",0.13437
"0.748",0.13385
"0.749",0.13292
"0.75",0.13178
"0.751",0.13115
"0.752",0.13063
"0.753",0.12991
"0.754",0.12928
"0.755",0.12835
"0.756",0.12752
"0.757",0.12669
"0.758",0.12617
"0.759",0.12451
"0.76",0.12409
"0.761",0.12347
"0.762",0.12253
"0.763",0.12181
"0.764",0.12046
"0.765",0.11931
"0.766",0.11859
"0.767",0.11796
"0.768",0.11724
"0.769",0.1161
"0.77",0.11578
"0.771",0.11454
"0.772",0.11319
"0.773",0.11246
"0.774",0.11184
"0.775",0.11121
"0.776",0.10997
"0.777",0.10914
"0.778",0.1081
"0.779",0.10748
"0.78",0.10644
"0.781",0.10571
"0.782",0.10478
"0.783",0.10343
"0.784",0.10177
"0.785",0.10114
"0.786",0.10062
"0.787",0.1
"0.788",0.09917
"0.789",0.09875
"0.79",0.09803
"0.791",0.09699
"0.792",0.09637
"0.793",0.09543
"0.794",0.09502
"0.795",0.09335
"0.796",0.09263
"0.797",0.0918
"0.798",0.09097
"0.799",0.09045
"0.8",0.09013
"0.801",0.0892
"0.802",0.08858
"0.803",0.08785
"0.804",0.08744
"0.805",0.08692
"0.806",0.0864
"0.807",0.08557
"0.808",0.08474
"0.809",0.0838
"0.81",0.08266
"0.811",0.08193
"0.812",0.0812
"0.813",0.08069
"0.814",0.08006
"0.815",0.07923
"0.816",0.0784
"0.817",0.07757
"0.818",0.07695
"0.819",0.07601
"0.82",0.0756
"0.821",0.07466
"0.822",0.07362
"0.823",0.0729
"0.824",0.07217
"0.825",0.07186
"0.826",0.07103
"0.827",0.0704
"0.828",0.06999
"0.829",0.06947
"0.83",0.06895
"0.831",0.06843
"0.832",0.06791
"0.833",0.06698
"0.834",0.06625
"0.835",0.06563
"0.836",0.0649
"0.837",0.06469
"0.838",0.06345
"0.839",0.06282
"0.84",0.06231
"0.841",0.06179
"0.842",0.06116
"0.843",0.06075
"0.844",0.0595
"0.845",0.05877
"0.846",0.05826
"0.847",0.05784
"0.848",0.05701
"0.849",0.05628
"0.85",0.05556
"0.851",0.0541
"0.852",0.05348
"0.853",0.05286
"0.854",0.05223
"0.855",0.05171
"0.856",0.05036
"0.857",0.04964
"0.858",0.0486
"0.859",0.04829
"0.86",0.04766
"0.861",0.04714
"0.862",0.04652
"0.863",0.0459
"0.864",0.04579
"0.865",0.04528
"0.866",0.04465
"0.867",0.04403
"0.868",0.04361
"0.869",0.04289
"0.87",0.04258
"0.871",0.04226
"0.872",0.04185
"0.873",0.04112
"0.874",0.04039
"0.875",0.04019
"0.876",0.03936
"0.877",0.03894
"0.878",0.03801
"0.879",0.0379
"0.88",0.03707
"0.881",0.03666
"0.882",0.03634
"0.883",0.03583
"0.884",0.0352
"0.885",0.0351
"0.886",0.03437
"0.887",0.03385
"0.888",0.03344
"0.889",0.0324
"0.89",0.03146
"0.891",0.03105
"0.892",0.03032
"0.893",0.0296
"0.894",0.02928
"0.895",0.02897
"0.896",0.02825
"0.897",0.02783
"0.898",0.02762
"0.899",0.027
"0.9",0.02669
"0.901",0.02606
"0.902",0.02565
"0.903",0.02523
"0.904",0.0243
